,Curves,eqTemp,eqTime,Species,Trial,OTM,Fit,Incl_eqTime
241,AG_T3_CopperPLA,23.11737347,103,AG,T3,CopperPLA,n,n
242,AG_T3_ABS,23.80510769,132,AG,T3,ABS,n,n
243,AC_T4_ABS,29.67724139,1,AC,T4,ABS,n,n
244,AC_T4_CopperPLA,29.4846864,3,AC,T4,CopperPLA,n,n
245,AC_T4_PLA,29.45467659,6,AC,T4,PLA,n,n
246,AC_T4_Lizard,29.34427777,8,AC,T4,Lizard,n,n
247,AC_T5_ABS,25.23249549,87,AC,T5,ABS,y,y
248,AC_T5_CopperPLA,25.03807162,67,AC,T5,CopperPLA,y,y
249,AC_T5_PLA,25.07368091,48,AC,T5,PLA,y,y
250,AC_T5_Lizard,25.13855442,97,AC,T5,Lizard,y,y
251,AC_T7_Lizard,NA,NA,AC,T7,Lizard,n,n
252,AC_T7_ABS,NA,NA,AC,T7,ABS,n,n
253,AC_T7_CopperPLA,NA,NA,AC,T7,CopperPLA,n,n
254,AC_T7_PLA,NA,NA,AC,T7,PLA,n,n
255,AC_T8_Lizard,NA,NA,AC,T8,Lizard,n,n
256,AC_T8_ABS,NA,NA,AC,T8,ABS,n,n
257,AC_T8_CopperPLA,NA,NA,AC,T8,CopperPLA,n,n
258,AC_T8_PLA,NA,NA,AC,T8,PLA,n,n
259,AC_T9_Lizard,32.9311483,60,AC,T9,Lizard,n,n
260,AC_T9_CopperPLA,35.10839899,51,AC,T9,CopperPLA,n,n
261,AC_T9_ABS,NA,NA,AC,T9,ABS,n,n
262,AC_T9_PLA,37.81782364,107,AC,T9,PLA,n,n
263,AC_T10_Lizard,26.34949752,76,AC,T10,Lizard,n,n
264,AC_T10_CopperPLA,NA,NA,AC,T10,CopperPLA,n,n
265,AC_T10_ABS,NA,NA,AC,T10,ABS,n,n
266,AC_T10_PLA,NA,NA,AC,T10,PLA,n,n
267,AC_T12_PLA,25.42593776,65,AC,T12,PLA,n,n
268,AC_T12_CopperPLA,NA,NA,AC,T12,CopperPLA,n,n
269,AC_T12_ABS,NA,NA,AC,T12,ABS,n,n
270,AC_T12_Lizard,NA,NA,AC,T12,Lizard,n,n
271,AC_T13_ABS,30.76254232,102,AC,T13,ABS,y,n
272,AC_T13_CopperPLA,NA,NA,AC,T13,CopperPLA,y,n
273,AC_T13_PLA,28.7240779,92,AC,T13,PLA,y,n
274,AC_T13_Lizard,29.62115647,31,AC,T13,Lizard,y,n
275,AP_T14_Lizard,35.03162114,53,AP,T14,Lizard,n,n
276,AP_T14_CopperPLA,33.99951346,11,AP,T14,CopperPLA,n,n
277,AP_T14_ABS,NA,NA,AP,T14,ABS,n,n
278,AP_T14_PLA,NA,NA,AP,T14,PLA,n,n
279,AP_T15_Lizard,32.99302732,44,AP,T15,Lizard,n,n
280,AP_T15_CopperPLA,33.34760207,5,AP,T15,CopperPLA,n,n
281,AP_T15_ABS,NA,NA,AP,T15,ABS,n,n
282,AP_T15_PLA,NA,NA,AP,T15,PLA,n,n
283,AP_T17_Lizard,30.49835427,20,AP,T17,Lizard,y,y
284,AP_T17_Copper,30.1023758,9,AP,T17,CopperPLA,y,y
