"","Curves","eqTemp","eqTime","Species","Trial","OTM"
"290","AP_T18_PLA",32.8080422825298,34,"AP","T18","PLA"
"291","AP_T19_Lizard",30.5172984603878,51,"AP","T19","Lizard"
"292","AP_T19_CopperPLA",34.0708952955359,18,"AP","T19","CopperPLA"
"293","AP_T19_ABS",33.747895786719,19,"AP","T19","ABS"
"294","AP_T19_PLA",33.6964651850804,16,"AP","T19","PLA"
"295","AC_T20_Lizard",28.2917669648711,128,"AC","T20","Lizard"
"296","AC_T20_CopperPLA",28.5201109892772,68,"AC","T20","CopperPLA"
"297","AC_T20_ABS",28.3906274977001,64,"AC","T20","ABS"
"298","AC_T20_PLA",28.1803068053988,71,"AC","T20","PLA"
"299","AC_T21_Lizard",30.0726545220536,110,"AC","T21","Lizard"
"300","AC_T21_CopperPLA",29.8961247588022,51,"AC","T21","CopperPLA"
"301","AC_T21_ABS",31.7040875890751,79,"AC","T21","ABS"
"302","AC_T21_PLA",30.8980348299839,81,"AC","T21","PLA"
"303","AP_T22_Lizard",32.2852519423846,65,"AP","T22","Lizard"
"304","AP_T22_CopperPLA",32.3506239128949,34,"AP","T22","CopperPLA"
"305","AP_T22_ABS",31.6815146898061,33,"AP","T22","ABS"
"306","AP_T22_PLA",31.690500525468,30,"AP","T22","PLA"
"307","AP_T23_Lizard",33.6270224073992,77,"AP","T23","Lizard"
"308","AP_T23_CopperPLA",33.0947481194139,38,"AP","T23","CopperPLA"
"309","AP_T23_ABS",32.2943980262151,82,"AP","T23","ABS"
"310","AP_T23_PLA",33.0608358146688,65,"AP","T23","PLA"
"311","AP_T24_Lizard",31.7580491881755,36,"AP","T24","Lizard"
"312","AP_T24_CopperPLA",34.3620506019446,38,"AP","T24","CopperPLA"
"313","AP_T24_ABS",33.5797958485926,40,"AP","T24","ABS"
"314","AP_T24_PLA",34.0791225248766,40,"AP","T24","PLA"
"315","AP_T26_Lizard",32.948576703589,51,"AP","T26","Lizard"
"316","AP_T26_CopperPLA",35.0124404988561,69,"AP","T26","CopperPLA"
"317","AP_T26_ABS",32.7646064941933,60,"AP","T26","ABS"
"318","AP_T26_PLA",33.6837213704529,58,"AP","T26","PLA"
"319","AG_T27_Lizard",22.9012467398449,82,"AG","T27","Lizard"
"320","AG_T27_CopperPLA",23.1723778968728,23,"AG","T27","CopperPLA"
"321","AG_T27_ABS",22.9465035028073,13,"AG","T27","ABS"
"322","AG_T27_PLA",23.0173385477012,13,"AG","T27","PLA"
"323","AG_T28_Lizard",22.3661718205578,59,"AG","T28","Lizard"
"324","AG_T28_CopperPLA",22.5927854650018,23,"AG","T28","CopperPLA"
"325","AG_T28_ABS",22.6004278392416,16,"AG","T28","ABS"
"326","AG_T28_PLA",22.5748988048169,14,"AG","T28","PLA"
"327","AG_T29_Lizard",28.2165926555884,186,"AG","T29","Lizard"
"328","AG_T29_CopperPLA",25.9723739008194,51,"AG","T29","CopperPLA"
"329","AG_T29_ABS",25.7285896007901,29,"AG","T29","ABS"
"330","AG_T29_PLA",26.1853153827337,30,"AG","T29","PLA"
"331","AG_T30_Lizard",26.4776445128902,84,"AG","T30","Lizard"
"332","AG_T30_CopperPLA",26.2264708320333,14,"AG","T30","CopperPLA"
"333","AG_T30_ABS",25.6391663875355,10,"AG","T30","ABS"
"334","AG_T30_PLA",25.6377005893278,12,"AG","T30","PLA"
"335","AG_T31_Lizard",25.7715290179278,61,"AG","T31","Lizard"
"336","AG_T31_CopperPLA",25.4120823898839,10,"AG","T31","CopperPLA"
